,Nutlin-3,Nilotinib,RAF265,PHA-665752,PD-0325901,PLX4720,PD-0332991,LBW242,Paclitaxel,AEW541,TAE684,TKI258,AZD0530,Lapatinib,PF2341066,Topotecan,Irinotecan,17-AAG,Sorafenib,L-685458,AZD6244,ZD-6474,Panobinostat,Erlotinib
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,6.76510863437,-3.83906605387,0.402452574279,4.25682385644,-1.9340116251,4.74394861485,4.4749607134,4.50321139861,-3.23208848676,3.48830187455,4.83190880219,1.59348739032,0.180220974024,3.29134242948,1.31876428564,-0.955290451889,-0.793322865582,0.120616852254,4.58981810327,6.40539307302,0.918395127866,0.713240621116,-3.98094156846,3.63246002087
PC3_PROSTATE,8.59824244027,5.32071373104,2.96569110607,8.23953733931,8.25177146511,3.76044540896,8.79760991576,5.12093283602,-4.91545938894,3.53460375449,2.78607497613,3.88579281225,1.924611316,4.45333144116,3.37032667515,0.361912188459,-1.27221882173,0.477765284291,3.93730101422,5.47855789636,7.59112285391,2.32622420559,-3.13299846432,4.89106024712
NCIH2030_LUNG,7.49820996542,3.33513499911,-0.0951864935735,6.28826946993,3.12380733088,3.83906064178,4.19007331948,5.87054698866,-5.15603248067,2.59192663263,2.73886616872,2.15594709811,0.808401514224,1.91946109636,3.16737558016,-2.71861395857,-0.711661438985,-4.10256445004,2.80689850636,5.46287964594,6.79657810937,1.88966400726,-2.6008967978,2.4914423246
PK59_PANCREAS,5.32202127397,3.24191119227,1.17338030064,5.19190221761,-0.811336544531,4.18026853774,3.68300133771,4.77102363977,-4.36609330238,2.67532357688,1.40941391637,3.69619719708,2.93915958208,2.76985303963,2.87387184006,0.201275356415,0.471098632201,-2.25002098049,3.22531370169,3.62404703337,3.34412574036,5.18160928147,-2.89321975791,4.39382909094
COLO741_SKIN,7.02419083098,,,3.79339224802,-0.503828209972,1.93152198359,,2.39425252053,-5.44532640455,1.87415976399,3.33975417264,2.57141931861,8.29841407056,4.78398653181,6.18297721961,-0.988497437778,,0.715016774605,7.71584359249,3.56439877013,1.32437719583,5.99743716426,-3.03050220688,2.75212578003
NCIH1355_LUNG,4.4914552747,5.73699629284,0.542560405635,6.06496524282,-0.95410841594,4.13252579134,3.24900816377,7.82860241852,-4.44945902178,3.12991255112,0.826085786868,3.39780302788,3.47419304915,2.78725131307,3.25455210413,2.93445014018,,0.065110429412,6.95911532587,5.61804467032,2.33158732234,3.58645828144,-2.43185791218,2.32902160496
NCIH3255_LUNG,6.4631597953,2.61329285148,3.6742077942,6.61923161327,2.64979969293,4.87117913136,8.76079072961,5.35901423997,1.20101037344,1.40708337693,-0.936173341352,5.38300158862,-3.00470463786,-1.73091429739,1.80712621998,1.22598906117,-1.18825837298,-0.852903462547,6.52384068293,7.25235197379,3.5400449794,-3.27474853095,-3.9318161401,-3.70734403045
RKN_OVARY,2.9896849949,3.18186385353,2.49585053253,4.30939798971,-0.958102081944,4.3943763168,3.12046368883,6.35715187048,-6.07895509619,3.80107813091,3.27888642427,3.94073791936,3.51654868912,6.01259626934,3.99764479772,-1.23227981607,-1.83200342454,-0.277048666795,3.59234596794,7.19636799836,0.856033532759,4.99095755521,-2.71106304369,4.91967320893
OE33_OESOPHAGUS,6.80561276635,4.67634622093,1.46344452351,3.65868942611,0.35519731624,5.23682247745,3.04423123698,4.77712545209,-6.94326413914,2.38636181142,1.5646537771,4.16856475453,1.8463344163,1.85465192482,0.095166627288,-2.12471512148,-3.32587167323,-3.84428108061,8.31098568463,7.50157216568,3.50720699646,3.75436219255,-4.69244932083,2.62274710679
KYSE140_OESOPHAGUS,4.90810024947,,,1.55191269554,0.966108122235,2.64922665949,,4.90096988783,-4.22686443817,0.893924167456,2.364001289,1.43951662465,0.76675195954,-0.093867392537,3.45278434382,-0.716287373888,,0.53906668872,4.34217716403,,4.16915284381,0.827085924656,-2.8053143233,-0.246293518569
