,Nutlin-3,Nilotinib,RAF265,PHA-665752,PD-0325901,PLX4720,PD-0332991,LBW242,Paclitaxel,AEW541,TAE684,TKI258,AZD0530,Lapatinib,PF2341066,Topotecan,Irinotecan,17-AAG,Sorafenib,L-685458,AZD6244,ZD-6474,Panobinostat,Erlotinib
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,6.765108634369999,-3.8390660538699994,0.402452574279,4.25682385644,,4.74394861485,4.4749607134,4.50321139861,-3.23208848676,3.48830187455,4.83190880219,,0.18022097402399997,3.29134242948,1.31876428564,,-0.793322865582,0.12061685225400001,4.58981810327,,0.918395127866,0.713240621116,-3.9809415684599996,3.6324600208699995
PC3_PROSTATE,8.598242440269999,5.320713731040001,2.96569110607,,8.25177146511,3.76044540896,8.79760991576,5.12093283602,-4.91545938894,3.53460375449,2.7860749761299997,3.88579281225,1.924611316,4.45333144116,3.37032667515,0.361912188459,-1.27221882173,0.477765284291,,5.478557896360001,7.59112285391,,-3.13299846432,4.8910602471199995
SW900_LUNG,7.93275926238,,3.36298782893,5.756969521749999,2.71797175242,6.52743883816,4.90814648122,4.843282139419999,-5.28915703765,4.22044772552,,8.48997787346,3.93615596834,4.1840815083,8.50743821629,,,,,7.91766117501,7.86435426513,9.40087160453,,6.68307181111
NCIH2030_LUNG,7.498209965419999,,,6.28826946993,,3.83906064178,,5.870546988659999,-5.1560324806699995,2.59192663263,2.73886616872,2.15594709811,0.808401514224,,3.16737558016,,,,2.8068985063599996,5.46287964594,6.7965781093699995,1.8896640072599997,-2.6008967978,2.4914423246
PK59_PANCREAS,5.32202127397,3.24191119227,1.1733803006399999,5.19190221761,-0.8113365445309999,,3.6830013377099995,4.77102363977,-4.36609330238,2.67532357688,1.40941391637,3.69619719708,2.93915958208,2.76985303963,2.8738718400599996,0.201275356415,,-2.2500209804900004,3.22531370169,3.6240470333699997,3.34412574036,,-2.8932197579100003,4.393829090940001
COLO741_SKIN,7.02419083098,,,3.79339224802,-0.503828209972,1.9315219835900004,,,-5.44532640455,1.8741597639900003,3.33975417264,,8.298414070560002,4.78398653181,6.18297721961,,,0.715016774605,7.71584359249,3.56439877013,1.32437719583,5.99743716426,-3.0305022068799996,2.75212578003
NCIH1355_LUNG,4.491455274700001,,0.542560405635,6.06496524282,,4.13252579134,3.24900816377,7.82860241852,,3.12991255112,0.826085786868,3.3978030278799998,3.47419304915,,,2.93445014018,,0.065110429412,6.95911532587,5.61804467032,,3.58645828144,-2.43185791218,2.32902160496
NCIH3255_LUNG,6.463159795299999,,3.6742077942,6.61923161327,2.64979969293,4.87117913136,8.760790729610001,5.35901423997,1.20101037344,1.40708337693,-0.9361733413519999,,-3.00470463786,-1.7309142973900002,1.80712621998,,-1.18825837298,-0.852903462547,6.5238406829299995,,3.5400449794,-3.27474853095,-3.9318161401,-3.7073440304500003
RKN_OVARY,2.9896849949,3.18186385353,2.49585053253,4.30939798971,-0.9581020819439999,4.3943763168,3.12046368883,6.35715187048,-6.07895509619,3.8010781309099997,,3.94073791936,3.5165486891199995,6.01259626934,3.9976447977199996,-1.2322798160700001,-1.8320034245400003,-0.277048666795,,,0.8560335327590001,4.99095755521,,4.91967320893
OE33_OESOPHAGUS,6.80561276635,4.67634622093,1.4634445235100002,3.65868942611,,5.23682247745,3.04423123698,4.77712545209,,2.38636181142,,4.16856475453,1.8463344163,1.85465192482,0.095166627288,,-3.32587167323,,8.310985684630001,7.501572165680001,3.50720699646,3.75436219255,-4.69244932083,2.6227471067900003
