,Nutlin-3,Nilotinib,RAF265,PHA-665752,PD-0325901,PLX4720,PD-0332991,LBW242,Paclitaxel,AEW541,TAE684,TKI258,AZD0530,Lapatinib,PF2341066,Topotecan,Irinotecan,17-AAG,Sorafenib,L-685458,AZD6244,ZD-6474,Panobinostat,Erlotinib
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,6.765108634369999,-3.8390660538699994,,,-1.9340116251,4.74394861485,,4.50321139861,-3.23208848676,3.48830187455,4.83190880219,1.59348739032,0.18022097402399997,,1.31876428564,-0.955290451889,-0.793322865582,0.12061685225400001,4.58981810327,6.405393073019999,0.918395127866,0.713240621116,,3.6324600208699995
PC3_PROSTATE,,5.320713731040001,,8.23953733931,8.25177146511,,8.79760991576,5.12093283602,,3.53460375449,,3.88579281225,,4.45333144116,,0.361912188459,-1.27221882173,0.477765284291,3.93730101422,5.478557896360001,7.59112285391,2.32622420559,,4.8910602471199995
SW900_LUNG,7.93275926238,5.1604220103800005,,5.756969521749999,2.71797175242,6.52743883816,4.90814648122,,-5.28915703765,4.22044772552,6.74724282665,8.48997787346,3.93615596834,4.1840815083,8.50743821629,2.02244906317,,-0.7812675264810001,7.85160560505,7.91766117501,7.86435426513,9.40087160453,0.155310328314,6.68307181111
NCIH2030_LUNG,,3.33513499911,-0.0951864935735,,3.12380733088,3.83906064178,4.19007331948,5.870546988659999,-5.1560324806699995,2.59192663263,2.73886616872,2.15594709811,0.808401514224,1.9194610963599998,3.16737558016,-2.7186139585699998,-0.711661438985,-4.10256445004,2.8068985063599996,,6.7965781093699995,1.8896640072599997,-2.6008967978,2.4914423246
PK59_PANCREAS,5.32202127397,3.24191119227,1.1733803006399999,5.19190221761,-0.8113365445309999,4.18026853774,,4.77102363977,-4.36609330238,,1.40941391637,3.69619719708,2.93915958208,2.76985303963,2.8738718400599996,,0.471098632201,-2.2500209804900004,3.22531370169,,3.34412574036,5.181609281469999,-2.8932197579100003,
COLO741_SKIN,7.02419083098,,,3.79339224802,,1.9315219835900004,,2.39425252053,-5.44532640455,1.8741597639900003,3.33975417264,2.57141931861,8.298414070560002,4.78398653181,6.18297721961,-0.9884974377779999,,0.715016774605,7.71584359249,3.56439877013,,,-3.0305022068799996,2.75212578003
NCIH1355_LUNG,4.491455274700001,5.736996292840001,0.542560405635,6.06496524282,-0.95410841594,4.13252579134,,7.82860241852,-4.44945902178,3.12991255112,0.826085786868,3.3978030278799998,3.47419304915,2.7872513130699996,3.25455210413,2.93445014018,,0.065110429412,6.95911532587,,2.3315873223400003,3.58645828144,,2.32902160496
NCIH3255_LUNG,,2.6132928514800002,,6.61923161327,,4.87117913136,8.760790729610001,,1.20101037344,1.40708337693,-0.9361733413519999,5.38300158862,-3.00470463786,-1.7309142973900002,1.80712621998,1.2259890611700002,,-0.852903462547,6.5238406829299995,7.25235197379,3.5400449794,,-3.9318161401,-3.7073440304500003
RKN_OVARY,2.9896849949,3.18186385353,2.49585053253,4.30939798971,,4.3943763168,3.12046368883,6.35715187048,-6.07895509619,,3.27888642427,3.94073791936,3.5165486891199995,6.01259626934,3.9976447977199996,,,-0.277048666795,3.5923459679400005,7.19636799836,,,-2.7110630436900003,
OE33_OESOPHAGUS,6.80561276635,4.67634622093,1.4634445235100002,3.65868942611,0.35519731624,,3.04423123698,,-6.943264139139999,2.38636181142,1.5646537771,4.16856475453,1.8463344163,,0.095166627288,-2.12471512148,-3.32587167323,-3.84428108061,8.310985684630001,7.501572165680001,3.50720699646,3.75436219255,-4.69244932083,2.6227471067900003
KYSE140_OESOPHAGUS,4.9081002494699995,,,1.55191269554,0.966108122235,2.64922665949,,4.9009698878300005,-4.22686443817,0.893924167456,2.364001289,1.43951662465,0.76675195954,-0.093867392537,3.45278434382,-0.7162873738879999,,0.53906668872,4.342177164030001,,4.16915284381,0.827085924656,-2.8053143232999997,
MIAPACA2_PANCREAS,7.3500764342,3.86237211909,1.92192513503,7.333875162719999,-3.4471262069599997,5.21982290127,4.383314874230001,5.06585330475,-7.814568198180001,,0.364026288319,2.57267925641,,3.36815953425,2.00361785748,-3.17619974685,-2.1352934991,,2.77839791286,6.661635284,-0.737757601214,2.62686516038,,6.26738326675
EFO27_OVARY,8.72597080553,5.28814324053,-0.13665044117699998,9.34886484484,4.501511879930001,,,7.3717379032300006,,5.15267116,3.26683325592,3.79972880465,1.52670737524,,3.75916597977,0.0682656657355,,-1.61935201576,3.3652626724,8.72376340493,4.00714749275,,,
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.9012941709450001,1.42771917803,-2.23085170211,1.53546391,3.0230140872099995,2.58084350762,0.152502366168,4.198766437280001,-9.68686717244,,-0.259918010303,-0.276951612576,2.79187072227,,1.26578998604,-4.78337360943,-4.76365748184,,2.49454718793,-1.38987710134,3.80053472805,2.3664565087200002,-6.39208184723,1.78695690972
HCC4006_LUNG,7.31747164798,2.65575899762,1.13377082116,5.97945987466,,5.8972123059,4.307659675769999,4.651073896640001,-7.338855369889999,3.2603454899799997,1.4420456154799999,3.7673300960600002,0.12461056475099999,0.858641365494,4.0335368881900004,,-0.751450832132,,3.80188014622,3.67553590411,3.53405573886,,-3.34819044004,-2.8388231082999997
