CCLE Cell Line Name	Compound	Doses (uM)	Activity Data (median)	EC50 (uM)	IC50 (uM)	ActArea
1321N1_CENTRAL_NERVOUS_SYSTEM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	8.67,11.0,2.16,.27,-10,-13,-26,-43	8.717773588	8.0	0.7124
22RV1_PROSTATE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	.94,12.5,-14,4.16,-25,-32,-52,-71	8.165163646	2.329924107	1.6723
42MGBA_CENTRAL_NERVOUS_SYSTEM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	8.91,8.39,-3.5,12.4,-.55,-6.2,-48,-63	1.514508486	2.68212986	1.1852
5637_URINARY_TRACT	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	2.15,9.91,-3.5,.056,-2.1,-14,-30,-62	8.006595166	5.002314091	0.9948
639V_URINARY_TRACT	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	11.8,-7.3,-9.4,-15,-11,-21,-53,-50	0.931195736	1.736181378	1.5436
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	18.4,4.65,8.64,19.3,-19,-20,-21,-78	8.700654505	4.260821819	1.7665
769P_KIDNEY	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	2.58,-4.1,6.18,-7.0,-13,-40,-28,-47	0.306242794	8.0	1.4376
786O_KIDNEY	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.2,-.53,.55,-4.1,2.41,-11,-8.8,-52	5.267667294	7.613147736	0.5954
8305C_THYROID	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	1.00,-1.9,8.83,9.38,-18,-17,-28,-68	8.520771485	4.95063591	1.2929
8505C_THYROID	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.0,-.21,-2.4,6.80,-6.3,1.35,-19,-22	1.846689939	8.0	0.3189
8MGBA_CENTRAL_NERVOUS_SYSTEM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.0,-23,-17,9.18,-2.6,-20,-34,-91	8.212996525	3.88834095	1.5025
A172_CENTRAL_NERVOUS_SYSTEM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-.27,.084,-2.7,-6.1,-6.3,-6.1,-15,-22	8.41962147	8.0	0.3615
A204_SOFT_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	3.12,2.35,2.69,-5.1,6.80,-24,-6.7,-68	4.163712025	5.150311947	0.5525
A2058_SKIN	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	4.97,-2.9,1.30,1.23,-1.3,-9.4,-12,-93	8.731296965	5.513091087	1.0006
A253_SALIVARY_GLAND	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	2.93,3.40,.080,-4.7,-1.6,-24,-12,-22		8.0	0.6375
A2780_OVARY	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	6.95,1.20,-.26,1.52,-3.7,-14,-19,-47	8.735670688	6.50890398	0.6674
A375_SKIN	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	1.92,4.74,4.50,-6.6,-7.7,-27,-47,-80	8.043994423	2.755423546	1.4484
A549_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	5.54,5.62,-.69,-7.7,-.50,-24,-60,-102	3.299131155	1.954786897	1.6406
A673_BONE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.6,5.42,-4.6,19.0,-6.1,-42,-55,-70	0.627646148	1.127677202	1.599
ACHN_KIDNEY	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	3.24,9.14,-4.2,4.02,-1.5,-10,-11,-53	8.709852235	7.67290926	0.6207
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.8,2.14,1.10,12.0,-17,-10,-50,-78	2.117016077	2.558496475	1.8822
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	5.90,13.2,-14,-7.1,-13,-45,-80,-99		0.194509948	2.8999
AN3CA_ENDOMETRIUM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	19.0,15.0,4.05,-1.4,1.59,-8.2,-12,-14	0.275005132	8.0	0.3505
ASPC1_PANCREAS	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	4.82,2.54,-4.9,-.16,-13,-30,-67,-80	1.181465507	1.427774787	1.3966
AU565_BREAST	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	15.3,5.67,7.83,3.45,-12,-5.9,-20,-43	9.06517521	8.0	0.7651
AZ521_STOMACH	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	9.23,-2.4,8.19,-30,-18,-52,-58,-89	8.542888842	1.152510881	2.3462
BCPAP_THYROID	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.2,1.18,.057,-2.1,-18,-18,-24,-70	8.88907626	5.10525465	1.3166
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-16,4.32,-20,-3.4,-5.7,21.7,-13,-51		4.972634551	0.3316
BFTC909_KIDNEY	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	2.87,-3.2,-1.9,-11,-12,-17,-18,-47	8.839999134	8.0	0.898
BGC823_STOMACH	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	.027,1.62,8.48,-2.4,-10,-35,-48,-81	6.213210583	2.397457123	1.5611
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.1,-.56,4.98,5.02,.52,-5.5,-14,-31	4.192019463	8.0	0.3433
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	13.0,11.4,10.4,-8.9,-3.2,-13,8.14,-35		8.0	0.8428
BT20_BREAST	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	15.8,-6.9,11.6,16.1,34.8,-15,15.4,-42		8.0	0.5273
BT474_BREAST	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-8.7,12.4,-8.8,30.4,-21,6.14,-23,-43		8.0	0.7015
BT549_BREAST	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	7.82,8.11,11.0,-2.3,16.4,-18,-16,-72	8.566682322	5.445250988	1.0007
BXPC3_PANCREAS	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	14.7,7.29,-6.9,-8.8,1.98,.69,-42,-45	2.367327452	2.82433486	0.7268
C2BBE1_LARGE_INTESTINE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-10,-5.2,12.8,26.1,-9.5,-26,-42,-67	1.822014451	3.098077059	1.3449
C32_SKIN	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	4.07,15.5,7.72,7.26,11.7,-13,-4.6,-72	8.347451162	6.354580879	0.8161
C3A_LIVER	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	25.2,-3.7,27.6,-9.1,19.8,-37,-43,-61		3.194922396	1.5387
CAKI2_KIDNEY	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.5,-3.0,-6.5,-.86,-9.2,-19,-22,-31	1.118192554	8.0	1.1466
CAL12T_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	10.2,2.68,-7.9,-18,-23,-53,-76,-108	8.080013295	0.795476556	2.0875
CAL27_UPPER_AERODIGESTIVE_TRACT	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	5.42,5.55,-8.8,-2.6,.23,-8.8,-13,-93	8.486004342	5.387672424	0.9409
CAL78_BONE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	19.9,-2.0,16.2,7.55,-8.9,-17,-7.7,-76	8.834716502	5.521905899	1.2703
CAL851_BREAST	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	6.79,17.3,-13,5.14,-16,-24,-53,-67	1.197646022	2.28115654	1.3703
CALU1_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	7.36,11.2,-5.6,-.76,-3.9,-12,-12,-15	0.144324616	8.0	0.1548
CALU3_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	2.55,-3.4,15.9,20.5,-6.7,-6.1,-5.7,-53	8.784340242	7.724710464	0.561
CALU6_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.9,-7.9,6.82,-8.4,.42,-17,-50,-89	2.774231672	2.476439953	1.511
CAMA1_BREAST	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	10.9,-7.2,7.19,-6.8,-9.7,.84,-18,-37	8.431911715	8.0	0.4276
CAPAN2_PANCREAS	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	33.9,28.3,38.3,-5.9,5.50,-40,-50,-95		0.432746449	1.657
CAS1_CENTRAL_NERVOUS_SYSTEM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.6,-6.9,-12,4.23,-13,-1.1,-15,-34	3.064806461	8.0	0.6584
CCK81_LARGE_INTESTINE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	.24,10.0,12.3,-1.8,3.13,5.20,-20,-59		2.329223689	0.7503
CHL1_SKIN	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.6,8.40,.83,11.2,-7.7,-1.7,-15,-56	8.983341298	7.182005882	0.8222
CHP212_AUTONOMIC_GANGLIA	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	13.5,16.3,-13,-15,-6.6,-38,-64,-91	8.613148835	1.560035467	2.0767
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-16,.83,14.1,14.6,-4.4,13.3,4.37,-39		8.0	0.6551
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	13.2,14.1,6.01,11.1,-15,-24,-47,-69	8.0	3.686611891	1.7816
COLO201_LARGE_INTESTINE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.5,13.5,4.61,13.9,-14,-26,-42,-59	0.963818848	3.582765341	1.3266
COLO205_LARGE_INTESTINE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	4.56,8.21,3.26,3.83,-1.7,-25,-47,-87	2.530621767	2.701482058	1.5025
COLO320_LARGE_INTESTINE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	8.69,1.16,-1.1,-11,-21,-53,-60,-80	2.32715559	1.450278282	2.0584
COLO677_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	7.56,3.24,16.3,6.78,-.11,-14,-11,-37	8.183113677	8.0	0.7073
COLO678_LARGE_INTESTINE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	15.4,7.64,18.0,2.01,1.45,-28,-30,-53	0.872308373	7.851645947	1.0687
COLO679_SKIN	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-7.5,-15,-10,-5.3,-14,-12,-37,-41	1.487672806	8.0	0.9348
COLO699_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	11.2,12.8,-5.7,-15,-25,-36,-53,-63	0.593975365	2.213190556	1.6792
COLO741_SKIN	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.9,15.8,-1.3,.93,-6.7,-23,-45,-67	3.067899227	3.343924522	1.4813
